CMDLINE /usr/bin/python main-copy2.py
MEM 121.683594 1543574984.6316
MEM 121.683594 1543574984.7321
MEM 121.683594 1543574984.8326
MEM 121.683594 1543574984.9330
MEM 121.683594 1543574985.0335
MEM 121.683594 1543574985.1339
MEM 121.683594 1543574985.2343
MEM 121.683594 1543574985.3348
MEM 121.683594 1543574985.4352
MEM 121.683594 1543574985.5357
MEM 121.683594 1543574985.6362
MEM 121.683594 1543574985.7367
MEM 121.683594 1543574985.8372
MEM 121.683594 1543574985.9377
MEM 121.683594 1543574986.0382
MEM 121.683594 1543574986.1387
MEM 121.683594 1543574986.2396
MEM 121.683594 1543574986.3401
MEM 121.683594 1543574986.4407
MEM 121.683594 1543574986.5412
MEM 121.683594 1543574986.6418
MEM 121.683594 1543574986.7422
MEM 121.683594 1543574986.8428
MEM 121.683594 1543574986.9432
MEM 121.683594 1543574987.0437
MEM 121.683594 1543574987.1441
MEM 121.683594 1543574987.2446
MEM 121.683594 1543574987.3451
MEM 121.683594 1543574987.4457
MEM 121.683594 1543574987.5461
MEM 121.683594 1543574987.6466
MEM 121.683594 1543574987.7470
MEM 121.683594 1543574987.8475
MEM 121.683594 1543574987.9480
MEM 121.683594 1543574988.0485
MEM 121.683594 1543574988.1491
MEM 121.683594 1543574988.2495
MEM 121.683594 1543574988.3500
MEM 121.683594 1543574988.4505
MEM 121.683594 1543574988.5510
MEM 121.683594 1543574988.6515
MEM 121.683594 1543574988.7520
MEM 121.683594 1543574988.8525
MEM 121.683594 1543574988.9530
MEM 121.683594 1543574989.0535
MEM 121.683594 1543574989.1540
MEM 121.683594 1543574989.2546
MEM 121.683594 1543574989.3550
MEM 121.683594 1543574989.4555
MEM 121.683594 1543574989.5559
MEM 121.683594 1543574989.6564
MEM 121.683594 1543574989.7568
MEM 121.683594 1543574989.8573
MEM 121.683594 1543574989.9578
MEM 121.683594 1543574990.0584
MEM 121.683594 1543574990.1588
MEM 121.687500 1543574990.2593
MEM 126.644531 1543574990.3597
MEM 129.390625 1543574990.4601
MEM 129.535156 1543574990.5604
MEM 129.789062 1543574990.6608
MEM 129.789062 1543574990.7612
MEM 130.042969 1543574990.8615
MEM 128.660156 1543574990.9619
MEM 128.660156 1543574991.0623
MEM 128.660156 1543574991.1629
MEM 128.660156 1543574991.2634
MEM 128.660156 1543574991.3638
MEM 128.660156 1543574991.4643
MEM 128.660156 1543574991.5649
MEM 128.660156 1543574991.6653
MEM 128.660156 1543574991.7658
MEM 128.660156 1543574991.8663
MEM 128.660156 1543574991.9667
MEM 128.660156 1543574992.0672
MEM 128.660156 1543574992.1676
MEM 128.660156 1543574992.2682
MEM 128.660156 1543574992.3687
MEM 128.660156 1543574992.4698
MEM 128.660156 1543574992.5703
MEM 128.660156 1543574992.6709
MEM 128.660156 1543574992.7734
MEM 128.660156 1543574992.8747
MEM 128.660156 1543574992.9752
MEM 128.660156 1543574993.0757
MEM 128.660156 1543574993.1763
MEM 128.660156 1543574993.2768
MEM 128.660156 1543574993.3773
